Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID
1794,94,23.0,Sean Campbell,http://games.crossfit.com/athlete/261166,1,,1794 (13073),13073,0,180.0,1682 (271),3066 (339),5650 (103),1090 (246),1585 (10:17),16,CrossFit Explode,CrossFit Explode,,,,,,,,,,,,,1794,1682,271,3066,339,5650,103,1090,246,1585,617,261166
1795,95,25.0,Mitchell Bolivar,http://games.crossfit.com/athlete/169400,1,70.0,1796 (13084),13084,0,185.0,2058 (267),3649 (263),2222 (114),1141 (246),4014 (11:17),16,Bedlam CrossFit,Bedlam CrossFit,,,,,,,,255.0,190.0,475.0,365.0,,1796,2058,267,3649,263,2222,114,1141,246,4014,677,169400
1796,96,30.0,Kyle O'Neil,http://games.crossfit.com/athlete/94815,1,71.0,1797 (13089),13089,0,198.0,7011 (236),763 (344),899 (118),2244 (232),2172 (10:35),16,Fit Farm,CrossFit Fit Farm,,,,,,,,300.0,225.0,525.0,495.0,52,1797,7011,236,763,344,899,118,2244,232,2172,635,94815
1797,97,42.0,Jason Elrod,http://games.crossfit.com/athlete/16289,1,70.0,1798 (13096),13096,0,186.0,7011 (236),2401 (339),899 (118),1930 (236),855 (09:46),16,,CrossFit Akron North,,,,,,,,245.0,195.0,500.0,485.0,47,1798,7011,236,2401,339,899,118,1930,236,855,586,16289
1798,98,33.0,Mike Petruso,http://games.crossfit.com/athlete/255202,1,72.0,1799 (13105),13105,0,202.0,3303 (259),1747 (341),3070 (110),971 (248),4014 (11:17),16,CrossFit Wildwood,CrossFit Wildwood,,,,,,,,300.0,240.0,455.0,435.0,47,1799,3303,259,1747,341,3070,110,971,248,4014,677,255202
1799,99,28.0,John Paul Wioncek,http://games.crossfit.com/athlete/45223,1,70.0,1800 (13109),13109,0,205.0,3303 (259),1453 (342),1966 (114),3681 (217),2706 (10:48),16,CrossFit Free,CrossFit Free,,,,,0,,,335.0,265.0,555.0,505.0,0,1800,3303,259,1453,342,1966,114,3681,217,2706,648,45223
1800,0,28.0,Guillaume Guillou,http://games.crossfit.com/athlete/283167,1,,1801 (13116),13116,0,,3965 (250),2446 (339),1139 (116),1590 (240),3976 (11:16),16,Les pieds nickelés,CrossFit Hyeres,,,,,,,,,,,,,1801,3965,250,2446,339,1139,116,1590,240,3976,676,283167
1801,1,24.0,Myung Sik kwak,http://games.crossfit.com/athlete/137056,1,69.29,1802 (13120),13120,0,175.0,1294 (274),4590 (261),3415 (109),1159 (246),2662 (10:47),16,,CrossFit Limelight,,,,,,,,304.24,253.53,485.02,418.88,42,1802,1294,274,4590,261,3415,109,1159,246,2662,647,137056
1802,2,21.0,Daniel Stutzman,http://games.crossfit.com/athlete/753122,1,71.0,1803 (13125),13125,0,176.0,755 (286),7249 (258),491 (123),3691 (217),939 (09:50),16,Kilotrained,CrossFit Kilo,,,,,,,,,,410.06,330.69,,1803,755,286,7249,258,491,123,3691,217,939,590,753122
1803,3,28.0,Aaron Beatty,http://games.crossfit.com/athlete/6090,1,70.0,1804 (13136),13136,0,170.0,8847 (230),1481 (341),840 (119),1570 (240),398 (09:15),16,CrossFit Marysville,CrossFit Marysville,,,,,,,,290.0,215.0,460.0,390.0,54,1804,8847,230,1481,341,840,119,1570,240,398,555,6090
1804,4,20.0,Nikolas Bibic,http://games.crossfit.com/athlete/229385,1,67.32,1805 (13140),13140,0,178.0,4344 (247),2935 (339),2321 (113),2346 (231),1194 (10:00),16,Hustle Tonic,Tonic CrossFit,,,,,,,,310.0,245.0,425.0,385.0,,1805,4344,247,2935,339,2321,113,2346,231,1194,600,229385
1805,5,25.0,Dex Homer,http://games.crossfit.com/athlete/101885,1,67.0,1806 (13142),13142,0,170.0,4962 (246),3138 (339),1897 (114),1440 (242),1705 (10:21),16,CrossFit Fort Vancouver Farm Team,CrossFit Fort Vancouver,,,,,400,,,275.0,0.0,475.0,435.0,60,1806,4962,246,3138,339,1897,114,1440,242,1705,621,101885
1806,6,24.0,Charles-David Brillant,http://games.crossfit.com/athlete/257247,1,,1807 (13146),13146,0,,2158 (266),2705 (339),1347 (116),2031 (235),4905 (11:33),16,CrossFit Quebec City 2,CrossFit Quebec City,,,,,,,,275.0,225.0,430.0,355.0,,1807,2158,266,2705,339,1347,116,2031,235,4905,693,257247
1807,7,31.0,Rikus Pretorius,http://games.crossfit.com/athlete/21346,1,73.0,1808 (13147),13147,0,215.0,2058 (267),3231 (339),781 (120),1836 (237),5241 (11:38),16,CrossFit Sweat Shop,CrossFit Sweat Shop,,,,,425,,,275.0,220.0,455.0,385.0,,1808,2058,267,3231,339,781,120,1836,237,5241,698,21346
1808,8,21.0,Iain Moses,http://games.crossfit.com/athlete/7522,1,72.0,1809 (13160),13160,0,204.0,2271 (265),5318 (260),2697 (111),1289 (244),1585 (10:17),16,Eugene CrossFit,Eugene CrossFit,,,,,0,,,0.0,0.0,0.0,0.0,0,1809,2271,265,5318,260,2697,111,1289,244,1585,617,7522
1809,9,28.0,Gustavo Vaz Tostes,http://games.crossfit.com/athlete/291348,1,69.69,1810 (13161),13161,0,173.0,2271 (265),3614 (263),2405 (113),1776 (238),3095 (10:57),16,CFP9,CrossFit Posto 9,,,,,,,,265.0,205.0,405.0,365.0,,1810,2271,265,3614,263,2405,113,1776,238,3095,657,291348
1810,10,27.0,Daniel Iracheta,http://games.crossfit.com/athlete/196198,1,70.0,1811 (13185),13185,0,181.0,389 (296),1286 (342),525 (123),3215 (220),7770 (12:14),16,Team CDR,CrossFit CDR Redlands,,,,,,,,270.0,220.0,475.0,400.0,,1811,389,296,1286,342,525,123,3215,220,7770,734,196198
1811,11,25.0,Ryan Verdecia,http://games.crossfit.com/athlete/19433,1,66.0,1812 (13195),13195,0,167.0,3663 (252),1814 (340),4673 (104),2422 (230),623 (09:32),16,,CrossFit Siege,,,,,327,,,285.0,245.0,455.0,425.0,67,1812,3663,252,1814,340,4673,104,2422,230,623,572,19433
1812,12,25.0,Tyler Downing,http://games.crossfit.com/athlete/552930,1,66.0,1813 (13196),13196,0,153.0,3387 (257),2382 (339),5241 (103),1672 (239),514 (09:24),16,CrossFit DC,CrossFit DC,,,,,,,,225.0,180.0,405.0,340.0,,1813,3387,257,2382,339,5241,103,1672,239,514,564,552930
1813,13,37.0,Billy Pappas,http://games.crossfit.com/athlete/39548,1,72.0,1814 (13204),13204,0,181.0,2869 (260),1531 (341),1059 (117),1328 (243),6417 (11:55),16,Lane 5 Athletics,Lane 5 CrossFit,,,,,404,,,285.0,220.0,455.0,375.0,50,1814,2869,260,1531,341,1059,117,1328,243,6417,715,39548
1814,14,21.0,Franco Elichabe,http://games.crossfit.com/athlete/266674,1,64.96,1815 (13209),13209,0,,2869 (260),2593 (339),2044 (114),3717 (217),1986 (10:30),16,BIGG FRIENDS RELOADED,BIGG CrossFit Palermo Chico,,,,,,,,,,,,,1815,2869,260,2593,339,2044,114,3717,217,1986,630,266674
1815,15,28.0,Bane Evans,http://games.crossfit.com/athlete/145099,1,73.0,1816 (13230),13230,0,193.0,1057 (278),3312 (339),3648 (108),1711 (238),3502 (11:06),16,The Combine,CSC CrossFit,,,,,,,,,,,,,1816,1057,278,3312,339,3648,108,1711,238,3502,666,145099
1816,16,29.0,Gary Lakey,http://games.crossfit.com/athlete/129115,1,73.0,1817 (13241),13241,0,205.0,4962 (246),2126 (340),2589 (112),858 (250),2706 (10:48),16,CrossFit Northlake,CrossFit Northlake,,,,,335,,,315.0,260.0,475.0,420.0,,1817,4962,246,2126,340,2589,112,858,250,2706,648,129115
1817,17,25.0,Sebastian Moraglio,http://games.crossfit.com/athlete/238378,1,70.08,1818 (13245),13245,0,190.0,1025 (279),6307 (259),719 (120),3022 (223),2172 (10:35),16,BoxPro Team,BoxPro CrossFit,,,,,,,,227.08,178.57,330.69,286.6,50,1818,1025,279,6307,259,719,120,3022,223,2172,635,238378
1818,18,30.0,Thatcher Taylor,http://games.crossfit.com/athlete/172478,1,,1819 (13257),13257,0,185.0,3965 (250),1820 (340),3491 (108),3126 (221),855 (09:46),16,Team PHX,CrossFit PHX,,,,,,,,,,,,,1819,3965,250,1820,340,3491,108,3126,221,855,586,172478
1819,19,23.0,Ray Zimlin,http://games.crossfit.com/athlete/232904,1,70.0,1819 (13257),13257,0,170.0,2158 (266),4584 (261),1347 (116),2506 (230),2662 (10:47),16,,CrossFit Glenville,,,,,,,,245.0,215.0,500.0,365.0,30,1819,2158,266,4584,261,1347,116,2506,230,2662,647,232904
