,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
5,Emily Bridgers,http://games.crossfit.com/athlete/4925,2,14,59.0,39:05.39,14,59.0,222 lb,18,51.0,40:01.94,12,35.0,00:38.70,18,29.0,01:40.00,11,65.0,05:54.30,18,51.0,CAP+5,29,29.0,03:16.92,23,41.0,23 pt,18,51.0,06:57.56,2,95.0,06:51.8,11,65.0,03:48.8,6,75.0,05:48.5,,,,,,,6 (705),2014
6,Lauren Brooks,http://games.crossfit.com/athlete/3991,2,25,37.0,42:09.85,24,39.0,215 lb,10,67.0,38:38.41,1,50.0,00:25.50,2,48.0,00:58.10,18,51.0,06:26.17,31,26.0,CAP+13,1,100.0,02:47.75,4,85.0,4 pt,29,29.0,10:51.53,19,49.0,09:59.8,21,45.0,CAP+3,9,69.0,06:01.1,,,,,,,7 (695),2014
7,Cassidy Lance,http://games.crossfit.com/athlete/123582,2,5,80.0,35:27.07,3,90.0,241 lb,27,33.0,42:15.51,26,21.0,00:46.40,31,16.0,02:24.00,4,85.0,05:13.57,28,31.0,CAP+12,15,57.0,03:08.21,17,53.0,17 pt,17,53.0,06:55.21,11,65.0,07:56.5,9,69.0,03:28.8,26,35.0,CAP+1,,,,,,,8 (688),2014
8,Lauren Fisher,http://games.crossfit.com/athlete/19117,2,11,65.0,37:35.87,6,75.0,238 lb,22,43.0,40:23.55,37,10.0,00:56.30,39,8.0,CAP+1,15,57.0,06:15.97,14,59.0,CAP+3,18,51.0,03:08.68,6,75.0,6 pt,16,55.0,06:52.07,9,69.0,07:51.4,8,71.0,03:25.6,22,43.0,06:44.6,,,,,,,9 (681),2014
9,Jenn Jones,http://games.crossfit.com/athlete/3217,2,31,26.0,44:32.88,12,63.0,230 lb,36,21.0,43:28.23,10,37.0,00:37.14,21,26.0,01:45.07,13,61.0,05:56.16,28,31.0,CAP+12,17,53.0,03:08.58,14,59.0,14 pt,10,67.0,06:28.68,7,73.0,07:38.7,1,100.0,03:01.9,12,63.0,06:16.2,,,,,,,10 (680),2014
10,Tiffany Hendrickson,http://games.crossfit.com/athlete/51106,2,19,49.0,39:59.58,21,45.0,216 lb,12,63.0,38:47.74,24,23.0,00:44.19,23,24.0,01:52.45,14,59.0,06:11.57,1,100.0,15:08.27,22,43.0,03:11.20,20,47.0,20 pt,13,61.0,06:36.83,10,67.0,07:51.5,24,39.0,CAP+4,14,59.0,06:19.4,,,,,,,11 (679),2014
11,Michelle Kinney,http://games.crossfit.com/athlete/6109,2,32,25.0,CAP+1,29,29.0,206 lb,5,80.0,37:39.25,7,40.0,00:36.20,7,40.0,01:26.00,26,35.0,06:45.00,9,69.0,CAP,6,75.0,02:56.27,37,20.0,37 pt,7,73.0,05:37.78,21,45.0,CAP+1,17,53.0,CAP+2,3,90.0,05:29.6,,,,,,,12 (674),2014
12,Emily Carothers,http://games.crossfit.com/athlete/22982,2,30,27.0,44:25.27,21,45.0,216 lb,14,59.0,39:15.33,5,42.0,00:33.80,14,33.0,01:35.00,9,69.0,05:28.95,17,53.0,CAP+4,28,31.0,03:15.86,39,18.0,39 pt,9,69.0,06:11.21,13,61.0,08:53.7,3,90.0,03:08.5,10,67.0,06:07.4,,,,,,,13 (664),2014
13,Elisabeth Akinwale,http://games.crossfit.com/athlete/7965,2,41,16.0,CAP+10,5,80.0,240 lb,39,18.0,47:04.54,6,41.0,00:34.98,8,39.0,01:27.30,21,45.0,06:33.32,28,31.0,CAP+12,19,49.0,03:09.99,1,100.0,1 pt,38,19.0,CAP+11,4,85.0,07:06.6,5,80.0,03:15.6,16,55.0,06:25.8,,,,,,,14 (658),2014
14,Chyna Cho,http://games.crossfit.com/athlete/27975,2,2,95.0,32:07.06,14,59.0,222 lb,15,57.0,39:18.59,36,11.0,00:55.60,25,22.0,01:56.00,16,55.0,06:20.24,6,75.0,17:33.92,32,25.0,03:24.30,26,35.0,26 pt,27,33.0,09:32.99,21,45.0,CAP+1,4,85.0,03:11.7,18,51.0,06:30.8,,,,,,,15 (648),2014
15,Kristin Holte,http://games.crossfit.com/athlete/120480,2,7,73.0,36:07.02,29,29.0,206 lb,1,100.0,36:07.79,20,27.0,00:42.39,14,33.0,01:35.00,22,43.0,06:34.58,26,35.0,CAP+11,4,85.0,02:53.13,28,31.0,28 pt,24,39.0,08:04.52,21,45.0,CAP+1,24,39.0,CAP+4,11,65.0,06:14.9,,,,,,,16 (644),2014
16,Denae Brown,http://games.crossfit.com/athlete/16581,2,9,69.0,36:22.40,14,59.0,222 lb,11,65.0,38:42.86,19,28.0,00:41.50,5,42.0,01:21.00,27,33.0,06:51.58,5,80.0,17:28.89,41,16.0,04:19.47,18,51.0,18 pt,20,47.0,07:20.90,12,63.0,08:32.4,28,31.0,CAP+5,21,45.0,06:41.5,,,,,,,17 (629),2014
17,Dani Horan,http://games.crossfit.com/athlete/3200,2,35,22.0,CAP+4,18,51.0,217 lb,40,17.0,47:42.80,3,46.0,00:31.01,13,34.0,01:34.61,19,49.0,06:30.64,14,59.0,CAP+3,27,33.0,03:15.40,11,65.0,11 pt,11,65.0,06:29.50,15,57.0,09:08.0,10,67.0,03:30.4,13,61.0,06:16.7,,,,,,,18 (626),2014
18,Bjork Odinsdottir,http://games.crossfit.com/athlete/18274,2,12,63.0,38:27.83,8,71.0,231 lb,30,27.0,42:41.41,18,29.0,00:41.30,29,18.0,02:09.00,7,73.0,05:26.76,24,39.0,CAP+9,7,73.0,02:57.53,7,73.0,7 pt,22,43.0,07:40.24,21,45.0,CAP+1,28,31.0,CAP+5,28,31.0,CAP+5,,,,,,,19 (616),2014
19,Amanda Goodman,http://games.crossfit.com/athlete/11708,2,39,18.0,CAP+8,3,90.0,241 lb,32,25.0,42:57.57,38,9.0,01:00.48,36,11.0,02:51.68,10,67.0,05:37.42,11,65.0,CAP+1,35,22.0,03:41.02,2,95.0,2 pt,21,45.0,07:33.21,18,51.0,09:52.1,13,61.0,03:50.5,24,39.0,06:59.9,,,,,,,20 (598),2014
20,Christy Adkins,http://games.crossfit.com/athlete/9121,2,22,43.0,40:30.37,18,51.0,217 lb,7,73.0,38:10.63,39,8.0,01:00.60,35,12.0,02:34.00,31,26.0,CAP+1,14,59.0,CAP+3,2,95.0,02:50.22,15,57.0,15 pt,26,35.0,09:17.37,31,26.0,CAP+2,17,53.0,CAP+2,15,57.0,06:23.5,,,,,,,21 (595),2014
21,Anna Tunnicliffe,http://games.crossfit.com/athlete/9440,2,1,100.0,31:43.95,34,23.0,198 lb,2,95.0,36:14.43,13,34.0,00:39.00,17,30.0,01:39.80,17,53.0,06:21.45,39,18.0,CAP+17,37,20.0,03:46.01,36,21.0,36 pt,32,25.0,CAP+2,21,45.0,CAP+1,17,53.0,CAP+2,7,73.0,05:49.8,,,,,,,22 (590),2014
22,Alessandra Pichelli,http://games.crossfit.com/athlete/37537,2,16,55.0,39:29.03,18,51.0,217 lb,16,55.0,39:43.79,2,48.0,00:29.94,10,37.0,01:28.65,36,21.0,CAP+9,36,21.0,CAP+15,14,59.0,03:06.24,10,67.0,10 pt,28,31.0,10:50.37,17,53.0,09:49.3,28,31.0,CAP+5,17,53.0,06:26.1,,,,,,,23 (582),2014
23,Rebecca Voigt,http://games.crossfit.com/athlete/8015,2,20,47.0,40:14.32,26,35.0,212 lb,25,37.0,41:21.56,22,25.0,00:42.80,12,35.0,01:34.10,30,27.0,CAP,31,26.0,CAP+13,8,71.0,02:58.24,25,37.0,25 pt,12,63.0,06:29.88,3,90.0,06:54.9,24,39.0,CAP+4,20,47.0,06:33.7,,,,,,,24 (579),2014
24,Sheila Barden,http://games.crossfit.com/athlete/23856,2,37,20.0,CAP+6,21,45.0,216 lb,13,61.0,39:13.59,41,6.0,01:45.51,34,13.0,02:31.66,29,29.0,06:58.56,4,85.0,16:58.75,13,61.0,03:04.60,30,27.0,30 pt,5,80.0,05:30.82,21,45.0,CAP+1,16,55.0,CAP+1,30,27.0,CAP+10,,,,,,,25 (554),2014
25,Mandi Janowitz,http://games.crossfit.com/athlete/12701,2,23,41.0,40:49.55,36,21.0,195 lb,3,90.0,37:06.68,23,24.0,00:44.13,33,14.0,02:29.89,31,26.0,CAP+1,3,90.0,16:42.72,3,90.0,02:52.33,40,17.0,40 pt,37,20.0,CAP+10,31,26.0,CAP+2,21,45.0,CAP+3,19,49.0,06:33.4,,,,,,,26 (553),2014
26,Kelley Jackson,http://games.crossfit.com/athlete/12336,2,18,51.0,39:51.55,37,20.0,192 lb,4,85.0,37:08.43,34,13.0,00:54.08,30,17.0,02:17.68,41,16.0,CAP+21,21,45.0,CAP+7,10,67.0,03:00.96,24,39.0,24 pt,15,57.0,06:51.84,35,22.0,CAP+28,21,45.0,CAP+3,23,41.0,06:51.1,,,,,,,27 (518),2014
27,Rachel Martinez,http://games.crossfit.com/athlete/20612,2,42,15.0,CAP+26,13,61.0,227 lb,31,26.0,42:44.35,29,18.0,00:49.42,37,10.0,02:53.24,12,63.0,05:55.06,26,35.0,CAP+11,23,41.0,03:11.32,22,43.0,22 pt,19,49.0,07:16.19,8,71.0,07:44.6,24,39.0,CAP+4,28,31.0,CAP+5,,,,,,,28 (502),2014
28,Amanda Schwartz,http://games.crossfit.com/athlete/14832,2,10,67.0,37:10.50,33,24.0,200 lb,20,47.0,40:10.15,28,19.0,00:48.84,24,23.0,01:55.55,33,24.0,CAP+2,9,69.0,CAP,31,26.0,03:24.07,31,26.0,31 pt,23,41.0,07:48.97,21,45.0,CAP+1,15,57.0,CAP,27,33.0,CAP+3,,,,,,,29 (501),2014
29,Regan Huckaby,http://games.crossfit.com/athlete/159681,2,34,23.0,CAP+3,24,39.0,215 lb,33,24.0,43:07.24,9,38.0,00:37.10,19,28.0,01:41.00,35,22.0,CAP+3,31,26.0,CAP+13,26,35.0,03:14.43,8,71.0,8 pt,14,59.0,06:45.80,31,26.0,CAP+2,17,53.0,CAP+2,25,37.0,07:00.0,,,,,,,30 (481),2014
30,Kara Webb,http://games.crossfit.com/athlete/2942,2,3,90.0,32:28.59,1,100.0,250 lb,21,45.0,40:12.58,4,44.0,00:31.70,3,46.0,01:00.00,5,80.0,05:14.06,25,37.0,CAP+10,9,69.0,02:59.75,3,90.0,3 pt,33,24.0,CAP+3,37,20.0,CAP+29,WD,,,WD,,,,,,,,,31 (645),2014
31,Nicole Holcomb,http://games.crossfit.com/athlete/13506,2,36,21.0,CAP+5,29,29.0,206 lb,35,22.0,43:25.98,31,16.0,00:50.56,22,25.0,01:51.75,25,37.0,06:41.28,18,51.0,CAP+5,33,24.0,03:24.76,35,22.0,35 pt,2,95.0,05:10.12,16,55.0,09:31.6,WD,,,WD,,,,,,,,,32 (397),2014
32,Talayna Fortunato,http://games.crossfit.com/athlete/11279,2,26,35.0,42:17.24,39,18.0,176 lb,29,29.0,42:26.80,25,22.0,00:44.34,4,44.0,01:06.00,23,41.0,06:35.31,8,71.0,17:53.70,21,45.0,03:10.62,41,16.0,41 pt,25,37.0,08:53.12,35,22.0,CAP+28,CUT,,,CUT,,,,,,,,,33 (380),2014
33,Margaux Alvarez,http://games.crossfit.com/athlete/3678,2,24,39.0,40:52.42,35,22.0,197 lb,8,71.0,38:14.93,30,17.0,00:50.29,38,9.0,02:55.44,33,24.0,CAP+2,23,41.0,CAP+8,12,63.0,03:02.09,16,55.0,16 pt,41,16.0,CAP+27,37,20.0,CAP+29,CUT,,,CUT,,,,,,,,,34 (377),2014
34,Emily Abbott,http://games.crossfit.com/athlete/180250,2,21,45.0,40:23.65,28,31.0,210 lb,19,49.0,40:07.30,15,32.0,00:39.01,1,50.0,00:52.57,38,19.0,CAP+14,36,21.0,CAP+15,11,65.0,03:01.35,33,24.0,33 pt,39,18.0,CAP+13,39,18.0,CAP+56,CUT,,,CUT,,,,,,,,,35 (372),2014
35,Gretchen Kittelberger,http://games.crossfit.com/athlete/13383,2,38,19.0,CAP+7,7,73.0,237 lb,41,16.0,48:55.66,33,14.0,00:52.98,28,19.0,02:08.53,20,47.0,06:30.98,31,26.0,CAP+13,39,18.0,03:53.06,21,45.0,21 pt,31,26.0,CAP+1,21,45.0,CAP+1,CUT,,,CUT,,,,,,,,,36 (348),2014
36,Emily Beers,http://games.crossfit.com/athlete/1910,2,27,33.0,42:57.53,32,25.0,205 lb,37,20.0,45:36.22,13,34.0,00:39.00,16,31.0,01:38.00,36,21.0,CAP+9,41,16.0,CAP+29,24,39.0,03:12.50,34,23.0,34 pt,34,23.0,CAP+5,21,45.0,CAP+1,CUT,,,CUT,,,,,,,,,37 (310),2014
37,Alexandra LaChance,http://games.crossfit.com/athlete/121917,2,29,29.0,44:11.29,27,33.0,211 lb,34,23.0,43:13.38,32,15.0,00:51.01,32,15.0,02:27.98,24,39.0,06:40.24,40,17.0,CAP+20,40,17.0,03:57.35,26,35.0,26 pt,40,17.0,CAP+18,20,47.0,CAP,CUT,,,CUT,,,,,,,,,38 (287),2014
38,Celestie Engelbrecht,http://games.crossfit.com/athlete/101492,2,17,53.0,39:34.14,40,17.0,175 lb,38,19.0,46:38.72,35,12.0,00:54.68,40,7.0,CAP+2,38,19.0,CAP+14,31,26.0,CAP+13,36,21.0,03:42.85,32,25.0,32 pt,35,22.0,CAP+6,34,23.0,CAP+8,CUT,,,CUT,,,,,,,,,39 (244),2014
39,Marlene Andersson,http://games.crossfit.com/athlete/17329,2,33,24.0,CAP+2,41,16.0,165 lb,23,41.0,40:28.41,40,7.0,01:09.43,40,7.0,CAP+2,40,17.0,CAP+16,21,45.0,CAP+7,34,23.0,03:28.28,38,19.0,38 pt,30,27.0,10:58.62,39,18.0,CAP+56,CUT,,,CUT,,,,,,,,,40 (244),2014
40,Pip Malone,http://games.crossfit.com/athlete/26980,2,28,31.0,43:31.03,8,71.0,231 lb,28,31.0,42:26.68,27,20.0,00:48.30,27,20.0,02:06.00,28,31.0,06:58.37,38,19.0,CAP+16,38,19.0,03:52.46,19,49.0,19 pt,35,22.0,CAP+6,WD,,,WD,,,WD,,,,,,,,,41 (313),2014
41,Wanda Brenton,http://games.crossfit.com/athlete/13503,2,40,17.0,CAP+9,42,15.0,145 lb,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,42 (32),2014
42,Rory Zambard,http://games.crossfit.com/athlete/14354,2,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,,,,,,,---,2014
0,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,2,18,44.0,54:30.08,14,52.0,10:49.00,12,56.0,45:44.51,2,94.0,2 pt,2,94.0,09:18.93,21,19.0,00:22.23,21,19.0,00:21.97,15,50.0,CAP+3,10,60.0,217 lb,8,68.0,06:36.34,5,80.0,14:33.34,13,54.0,CAP+51,1,100.0,04:42.77,,,,,,,1 (790),2015
1,Tia-Clair Toomey,http://games.crossfit.com/athlete/163097,2,4,84.0,46:41.10,18,44.0,11:22.00,27,26.0,52:44.80,6,76.0,6 pt,31,18.0,CAP+20,4,42.0,00:20.13,3,44.0,00:20.06,13,54.0,CAP+2,15,50.0,212 lb,6,76.0,06:20.23,6,76.0,14:34.04,6,76.0,CAP+50,4,84.0,05:30.27,,,,,,,2 (750),2015
2,Ragnheiður Sara Sigmundsdottir,http://games.crossfit.com/athlete/8859,2,8,68.0,49:44.28,4,84.0,09:54.00,9,64.0,44:58.27,9,64.0,9 pt,1,100.0,08:25.17,37,3.0,00:26.80,38,2.0,00:26.67,4,84.0,10:07.41,6,76.0,230 lb,18,44.0,07:23.13,9,64.0,15:09.44,13,54.0,CAP+51,22,36.0,CAP+9,,,,,,,3 (743),2015
3,Samantha Briggs,http://games.crossfit.com/athlete/2536,2,7,72.0,49:34.00,10,60.0,10:26.00,1,100.0,39:10.14,35,10.0,35 pt,15,50.0,11:51.42,34,6.0,00:25.33,31,9.0,00:23.23,8,68.0,CAP+1,31,18.0,188 lb,2,94.0,05:32.00,1,100.0,13:26.57,13,54.0,CAP+51,2,94.0,04:51.60,,,,,,,4 (735),2015
4,Kara Webb,http://games.crossfit.com/athlete/2942,2,1,100.0,45:30.52,3,88.0,09:33.00,13,54.0,45:59.02,21,38.0,21 pt,10,60.0,10:51.63,35,5.0,00:25.43,32,8.0,00:23.29,8,68.0,CAP+1,9,64.0,225 lb,4,84.0,06:14.09,19,42.0,15:53.47,6,76.0,CAP+50,32,16.0,CAP+54,,,,,,,5 (703),2015
5,Chyna Cho,http://games.crossfit.com/athlete/27975,2,3,88.0,46:13.76,17,46.0,11:21.00,15,50.0,46:35.77,14,52.0,14 pt,16,48.0,11:56.09,25,15.0,00:23.07,30,10.0,00:22.85,8,68.0,CAP+1,19,42.0,207 lb,19,42.0,07:36.31,10,60.0,15:11.52,4,84.0,CAP+49,12,56.0,CAP+2,,,,,,,6 (661),2015
6,Lindsey Valenzuela,http://games.crossfit.com/athlete/123968,2,15,50.0,52:24.63,7,72.0,10:03.00,32,16.0,CAP,8,68.0,8 pt,9,64.0,10:39.04,26,14.0,00:23.17,16,24.0,00:21.55,19,42.0,CAP+4,2,94.0,240 lb,12,56.0,06:54.66,21,38.0,16:09.58,6,76.0,CAP+50,29,22.0,CAP+51,,,,,,,7 (636),2015
7,Emily Abbott,http://games.crossfit.com/athlete/180250,2,29,22.0,59:00.29,2,94.0,09:03.00,35,10.0,CAP+3,10,60.0,10 pt,5,80.0,10:03.65,11,29.0,00:20.97,12,28.0,00:21.18,15,50.0,CAP+3,3,88.0,232 lb,26,28.0,08:12.58,12,56.0,15:18.11,13,54.0,CAP+51,28,24.0,CAP+50,,,,,,,8 (623),2015
8,Margaux Alvarez,http://games.crossfit.com/athlete/3678,2,20,40.0,54:39.75,5,80.0,09:54.50,18,44.0,47:26.50,16,48.0,16 pt,21,38.0,CAP+4,9,32.0,00:20.83,8,34.0,00:20.76,34,12.0,CAP+7,17,46.0,210 lb,14,52.0,07:06.44,4,84.0,14:32.59,1,100.0,CAP+8,35,10.0,CAP+58,,,,,,,9 (620),2015
9,Amanda Goodman,http://games.crossfit.com/athlete/11708,2,37,6.0,CAP+3,39,2.0,CAP+3,25,30.0,52:05.09,7,72.0,7 pt,17,46.0,CAP,19,21.0,00:21.77,19,21.0,00:21.78,15,50.0,CAP+3,6,76.0,230 lb,3,88.0,06:01.34,25,30.0,16:20.02,2,94.0,CAP+11,5,80.0,05:42.90,,,,,,,10 (616),2015
10,Stacie Tovar,http://games.crossfit.com/athlete/5512,2,23,34.0,56:50.46,10,60.0,10:26.00,11,58.0,45:37.30,23,34.0,23 pt,25,30.0,CAP+10,17,23.0,00:21.60,15,25.0,00:21.51,7,72.0,11:57.94,15,50.0,212 lb,13,54.0,07:01.85,16,48.0,15:39.10,13,54.0,CAP+51,9,64.0,06:51.61,,,,,,,11 (606),2015
11,Sammy Wood,http://games.crossfit.com/athlete/10886,2,6,76.0,48:51.62,26,28.0,13:04.00,28,24.0,53:13.06,15,50.0,15 pt,33,14.0,CAP+22,5,40.0,00:20.16,5,40.0,00:20.55,3,88.0,09:29.01,21,38.0,205 lb,10,60.0,06:53.00,30,20.0,16:39.20,13,54.0,CAP+51,11,58.0,CAP+1,,,,,,,12 (590),2015
12,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,2,10,60.0,50:05.91,33,14.0,14:41.00,16,48.0,46:59.92,36,8.0,36 pt,13,54.0,11:23.25,13,27.0,00:21.23,13,27.0,00:21.35,24,32.0,CAP+5,5,80.0,231 lb,1,100.0,04:47.57,35,10.0,17:09.79,13,54.0,CAP+51,7,72.0,06:15.92,,,,,,,13 (586),2015
13,Brooke Ence,http://games.crossfit.com/athlete/62554,2,19,42.0,54:38.85,21,38.0,12:10.00,30,20.0,53:53.08,1,100.0,1 pt,18,44.0,CAP+1,6,38.0,00:20.20,7,36.0,00:20.74,19,42.0,CAP+4,1,100.0,242 lb,22,36.0,07:42.75,28,24.0,16:28.75,13,54.0,CAP+51,36,8.0,CAP+59,,,,,,,14 (582),2015
14,Nicole Holcomb,http://games.crossfit.com/athlete/13506,2,33,14.0,59:59.98,16,48.0,11:07.00,26,28.0,52:27.05,3,88.0,3 pt,12,56.0,10:59.53,29,11.0,00:23.40,26,14.0,00:22.63,5,80.0,10:22.02,20,40.0,206 lb,7,72.0,06:34.31,31,18.0,16:46.36,13,54.0,CAP+51,14,52.0,CAP+4,,,,,,,15 (575),2015
15,Brooke Wells,http://games.crossfit.com/athlete/168305,2,32,16.0,59:28.54,13,54.0,10:36.00,24,32.0,51:24.07,29,22.0,29 pt,7,72.0,10:21.69,12,28.0,00:21.13,9,32.0,00:20.89,30,20.0,CAP+6,3,88.0,232 lb,21,38.0,07:39.55,26,28.0,16:27.31,13,54.0,CAP+51,3,88.0,05:02.09,,,,,,,16 (572),2015
16,Kristin Holte,http://games.crossfit.com/athlete/120480,2,11,58.0,50:15.81,9,64.0,10:19.00,3,88.0,40:39.82,33,14.0,33 pt,38,4.0,CAP+43,3,44.0,00:20.07,1,50.0,00:19.63,24,32.0,CAP+5,32,16.0,187 lb,37,6.0,CAP+2,2,94.0,13:53.61,13,54.0,CAP+51,19,42.0,CAP+8,,,,,,,17 (566),2015
17,Michele Letendre,http://games.crossfit.com/athlete/3407,2,2,94.0,45:54.50,38,4.0,CAP+2,10,60.0,45:11.54,5,80.0,5 pt,6,76.0,10:09.83,36,4.0,00:26.43,36,4.0,00:24.54,30,20.0,CAP+6,21,38.0,205 lb,16,48.0,07:10.27,24,32.0,16:16.85,13,54.0,CAP+51,16,48.0,CAP+5,,,,,,,18 (562),2015
18,whitney gelin,http://games.crossfit.com/athlete/110918,2,21,38.0,56:02.30,8,68.0,10:06.00,17,46.0,47:19.93,25,30.0,25 pt,3,88.0,09:46.15,33,7.0,00:25.20,37,3.0,00:26.34,19,42.0,CAP+4,14,52.0,216 lb,11,58.0,06:54.06,11,58.0,15:17.15,13,54.0,CAP+51,32,16.0,CAP+54,,,,,,,19 (560),2015
19,Alethea Boon,http://games.crossfit.com/athlete/235218,2,39,2.0,CAP+5,29,22.0,13:11.00,2,94.0,40:33.65,18,44.0,18 pt,22,36.0,CAP+6,18,22.0,00:21.73,34,6.0,00:23.98,6,76.0,11:14.97,32,16.0,187 lb,5,80.0,06:16.49,29,22.0,16:30.72,4,84.0,CAP+49,14,52.0,CAP+4,,,,,,,20 (556),2015
20,Kari Pearce,http://games.crossfit.com/athlete/305891,2,31,18.0,59:17.31,20,40.0,11:38.00,5,80.0,42:13.72,32,16.0,32 pt,29,22.0,CAP+14,20,20.0,00:22.13,24,16.0,00:22.11,2,94.0,09:02.80,35,10.0,185 lb,24,32.0,08:03.71,15,50.0,15:38.42,3,88.0,CAP+16,8,68.0,06:48.33,,,,,,,21 (554),2015
21,Anna Tunnicliffe,http://games.crossfit.com/athlete/9440,2,5,80.0,46:43.73,1,100.0,08:30.00,6,76.0,43:19.73,24,32.0,24 pt,35,10.0,CAP+31,7,36.0,00:20.50,10,30.0,00:21.01,30,20.0,CAP+6,32,16.0,187 lb,38,4.0,CAP+4,3,88.0,14:17.88,13,54.0,CAP+51,37,6.0,CAP+60,,,,,,,22 (552),2015
22,Denae Brown,http://games.crossfit.com/athlete/16581,2,9,64.0,50:04.28,32,16.0,13:44.00,7,72.0,43:35.20,19,42.0,19 pt,30,20.0,CAP+18,30,10.0,00:23.47,18,22.0,00:21.69,19,42.0,CAP+4,26,28.0,201 lb,15,50.0,07:08.14,8,68.0,14:58.46,6,76.0,CAP+50,19,42.0,CAP+8,,,,,,,23 (552),2015
23,Emily Bridgers,http://games.crossfit.com/athlete/4925,2,14,52.0,52:20.04,29,22.0,13:11.00,8,68.0,43:50.26,13,54.0,13 pt,24,32.0,CAP+9,14,26.0,00:21.27,23,17.0,00:22.00,8,68.0,CAP+1,27,26.0,197 lb,9,64.0,06:48.47,23,34.0,16:15.62,13,54.0,CAP+51,29,22.0,CAP+51,,,,,,,24 (539),2015
24,Elisabeth Akinwale,http://games.crossfit.com/athlete/7965,2,28,24.0,58:49.82,15,50.0,10:56.00,36,8.0,CAP+4,4,84.0,4 pt,27,26.0,CAP+13,32,8.0,00:23.57,21,19.0,00:21.97,1,100.0,08:40.94,8,68.0,226 lb,34,12.0,09:12.57,33,14.0,17:08.35,13,54.0,CAP+51,26,28.0,CAP+40,,,,,,,25 (495),2015
25,Cassidy Lance,http://games.crossfit.com/athlete/123582,2,12,56.0,50:23.90,22,36.0,12:26.00,23,34.0,50:13.63,17,46.0,17 pt,19,42.0,CAP+2,23,17.0,00:22.93,29,11.0,00:22.72,13,54.0,CAP+2,18,44.0,208 lb,17,46.0,07:17.50,32,16.0,16:53.33,13,54.0,CAP+51,24,32.0,CAP+28,,,,,,,26 (488),2015
26,Carol-Ann Reason-Thibault,http://games.crossfit.com/athlete/103389,2,24,32.0,56:52.32,34,12.0,CAP+1,22,36.0,49:57.83,20,40.0,20 pt,8,68.0,10:28.58,27,13.0,00:23.23,33,7.0,00:23.33,24,32.0,CAP+5,21,38.0,205 lb,25,30.0,08:08.62,17,46.0,15:41.26,13,54.0,CAP+51,6,76.0,06:00.02,,,,,,,27 (484),2015
27,Thuridur Erla Helgadottir,http://games.crossfit.com/athlete/19501,2,22,36.0,56:04.55,31,18.0,13:40.00,20,40.0,48:59.17,22,36.0,22 pt,27,26.0,CAP+13,2,47.0,00:19.73,6,38.0,00:20.58,34,12.0,CAP+7,25,30.0,202 lb,32,16.0,09:08.05,13,54.0,15:19.07,13,54.0,CAP+51,18,44.0,CAP+6,,,,,,,28 (451),2015
28,Jenn Jones,http://games.crossfit.com/athlete/3217,2,27,26.0,58:16.62,23,34.0,12:38.00,21,38.0,49:11.39,11,58.0,11 pt,14,52.0,11:39.94,8,34.0,00:20.57,11,29.0,00:21.14,30,20.0,CAP+6,21,38.0,205 lb,35,10.0,09:35.67,37,6.0,17:25.76,13,54.0,CAP+51,19,42.0,CAP+8,,,,,,,29 (441),2015
29,Alex Parker,http://games.crossfit.com/athlete/141620,2,16,48.0,53:04.89,24,32.0,12:44.00,19,42.0,48:18.26,38,4.0,38 pt,26,28.0,CAP+12,10,30.0,00:20.90,4,42.0,00:20.27,38,4.0,CAP+9,35,10.0,185 lb,36,8.0,09:42.54,7,72.0,14:36.77,13,54.0,CAP+51,10,60.0,06:52.23,,,,,,,30 (434),2015
30,Rebecca Voigt,http://games.crossfit.com/athlete/8015,2,17,46.0,54:15.63,19,42.0,11:32.00,37,6.0,CAP+5,31,18.0,31 pt,11,58.0,10:58.06,22,18.0,00:22.73,26,14.0,00:22.63,19,42.0,CAP+4,28,24.0,196 lb,28,24.0,08:34.59,27,26.0,16:28.73,6,76.0,CAP+50,23,34.0,CAP+12,,,,,,,31 (428),2015
31,Alessandra Pichelli,http://games.crossfit.com/athlete/37537,2,25,30.0,57:07.79,27,26.0,13:06.00,39,2.0,CAP+7,28,24.0,28 pt,20,40.0,CAP+3,15,25.0,00:21.40,28,12.0,00:22.64,15,50.0,CAP+3,10,60.0,217 lb,23,34.0,07:43.87,18,44.0,15:46.72,13,54.0,CAP+51,27,26.0,CAP+49,,,,,,,32 (427),2015
